sex,sex_label,age_group,age_group_label,weight_class_kg,year,result_count,squat_sample_size,avg_squat_kg,bench_sample_size,avg_bench_kg,deadlift_sample_size,avg_deadlift_kg,dataset_updated
M,Males,masters_1,Masters 1 (40–49),83+,2023,4,4,210.63,4,146.88,4,232.5,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83+,2024,8,8,201.25,8,150.31,8,232.81,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83+,2025,4,4,208.75,4,155.63,4,231.88,2026-08-31
M,Males,masters_1,Masters 1 (40–49),83+,2026,1,1,275.0,1,155.0,1,295.0,2026-08-31
M,Males,masters_1,Masters 1 (40–49),85+,2024,1,1,190.0,1,117.5,1,235.0,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93,2022,332,332,190.05,332,128.6,332,220.86,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93,2023,439,439,194.0,439,130.44,439,222.61,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93,2024,495,495,199.71,495,132.51,495,227.23,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93,2025,611,611,203.56,611,133.34,611,230.88,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93,2026,375,375,200.13,375,132.36,375,226.05,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93+,2023,2,2,233.75,2,170.0,2,252.5,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93+,2024,1,1,270.0,1,185.0,1,312.5,2026-08-31
M,Males,masters_1,Masters 1 (40–49),93+,2025,2,2,210.0,2,122.5,2,230.0,2026-08-31
M,Males,masters_1,Masters 1 (40–49),105,2022,365,365,203.87,365,137.67,365,228.09,2026-08-31
M,Males,masters_1,Masters 1 (40–49),105,2023,408,408,201.12,408,137.43,408,227.47,2026-08-31
M,Males,masters_1,Masters 1 (40–49),105,2024,449,449,210.71,449,140.91,449,239.0,2026-08-31
